geogkey	continent	country	countrycode	stateprovince	county	municipality	waterbody	islandgroup	island	standard	vetted	error	misplaced	unresolved	source	comment
|[GERMAN EAST AFRICA]|||||||	Africa									Africa||||||||	1			0		
|[GERMANY OR POLAND]|||||||	Europe									Europe||||||||	1			0		
|[GHANA]|||||||	Africa	Ghana	GH							Africa|Ghana|GH||||||	1			0		
|[GREENLAND / CANADA]|||||||										||||||||	1			1		
|[GUYANA]|||||||	South America	Guyana	GY							South America|Guyana|GY||||||	1			0		
|[HEBRIDES IS]|||||||	Europe	United Kingdom	GB	Scotland	Na h-Eileanan Siar			Hebrides		Europe|United Kingdom|GB|Scotland|Na h-Eileanan Siar|||Hebrides|	1			0		
|[HEBRIDES]|||||||	Europe	United Kingdom	GB	Scotland	Na h-Eileanan Siar			Hebrides		Europe|United Kingdom|GB|Scotland|Na h-Eileanan Siar|||Hebrides|	1			0		
|[HIMALAYA]|||||||	Asia									Asia||||||||	1			0		
|[HIMALAYAS; INDIA]|||||||	Asia	India	IN							Asia|India|IN||||||	1			0		
|[ICELAND]|||||||	Europe	Iceland	IS							Europe|Iceland|IS||||||	1			0		
|[ILLEG] CONGO|||||||	Africa	Congo	CG							Africa|Congo|CG||||||	1			1		
|[ILLEG] MEXICO|||||||	North America	Mexico	MX							North America|Mexico|MX||||||	1			0		
|[ILLEG] W. CEYLON.|||||||	Asia	Sri Lanka	LK							Asia|Sri Lanka|LK||||||	1			0		
|[ILLEG]. MEXICO|||||||	North America	Mexico	MX							North America|Mexico|MX||||||	1			0		
|[ILLEG]. MOZAMBIQUE|||||||	Africa	Mozambique	MZ							Africa|Mozambique|MZ||||||	1			0		
|[ILLEG]|||||||										||||||||	1			0		
|[ILLEG]MEXICO|||||||	North America	Mexico	MX							North America|Mexico|MX||||||	1			0		
|[ILLEG]NEW GRENADA|||||||	North America	Grenada	GD							North America|Grenada|GD||||||	1			0		
